,songtext,artist
0,blame it  blame it on my youth  i wasn t born with the rich blood i started out with plenty of nothing at all i got stuck in the thick mud the flash flood  punk rock  and the alcohol i was raised on a rerun i was bored to death  so i started a band cut my teeth on a safety dance my attention span never stood a chance  it s too late can you forgive me now   you could never kill my high i m the ink and you re the headline  oh  blame it  blame it on my youth blame it  blame it on my youth you can never block my shine i ve been lost since 1999  oh  blame it  blame it on my youth blame it  blame it on my youth  blame  blame  blame on my youth   i wasn t made for the good life i ended up getting stuck on the side of the road i tripped and fell on hard times tough breaks are the only kind i know i was left on a door step i was scared to death with nowhere to go cut myself on the neighbors  fence that i hopped as the cops tried to take me in  it s too late can you forgive me now   you could never kill my high i m the ink and you re the headline  oh  blame it  blame it on my youth blame it  blame it on my youth you could never block my shine i ve been lost since 1999  oh  blame it  blame it on my youth blame it  blame it on my youth  i was raised on the ritalin ever since i was a little kid  little kid  no one ever seemed to give a shit  give a shit  and i don t need an excuse i don t need an excuse  you could never kill my high i m the ink and you re the headline blame it  blame it on my youth blame it  blame it on my youth you can never block my shine i ve been lost since 1999  oh  blame it  blame it on my youth blame it  blame it on my youth you can never kill my high  endless summer  i m the ink and you re the headline  stretching on and on  blame it  blame it on my youth  oh  oh  blame it  blame it on my youth  oh  oh   endless summer stretching on and on,Blink182
1,yeah yeah  yeah yeah  yeah  first drink of the night just to get me right the first light of the day i know i ve got it all wrong first pill that you drop only sets it off the next morning you wake up all blurry and numb  before all the damage securities before all your innocence is all lost think back to the time you were all alone one day you ll look back and say where s it all gone   sometimes we get lost inside our little heads don t sleep  just yet  we all know that there s nothing like the first love  first time  there ain t nothing like the first time passed out  last night  there ain t nothing like the first time  taking all the meds  first love  sleeping with her friends  first time  find out in the end ain t  there ain t  nothing like the first time  nothing like the first time  stuck inside her head  passed out  jumping in her bed  last night  find out in the end ain t  there ain t  nothing like the first time  nothing like the first time   yeah yeah  yeah yeah  yeah  nothing like the first time   first time on a plane  said she s paranoid tried to make her feel safe and said it all wrong first time in la so she can t avoid leaving life she s failing all along  sometimes we get lost inside our little heads don t sleep  just yet  we all know that there s nothing like the first love  first time  there ain t nothing like the first time passed out  last night  there ain t nothing like the first time  taking all the meds  first love  sleeping with her friends  first time  find out in the end ain t  there ain t  nothing like the first time  nothing like the first time  stuck inside her head  passed out  jumping in her bed  last night  find out in the end ain t  there ain t  nothing like the first time  nothing like the first time   yeah yeah  yeah yeah yeah  nothing like the first time  yeah yeah  yeah yeah yeah  nothing like the first time ,Blink182
2,hey kid  don t quit your daydream yet i know you feel locked out in the cold seems like you re lost and alone hey kid  don t listen to your head it only fills you with dread and with doubt left lookin  for an easy way out  i know you don t know oh  no  you don t know  i wanna feel happy days  happy days happy days  happy days walls of isolation inside of my pain and i don t know if i m ready to change i wanna feel happy days  happy days happy days  happy days all of this frustration inside of my brain and i don t know if i m ready to change  some nights you call for the jaws of life to pull you out of the crash a forgotten ghost from your past when enough doesn t cut it when you re backed up against a wall is it the life that you wanted  when you could never have it all   i wanna feel happy days  happy days happy days  happy days walls of isolation inside of my pain and i don t know if i m ready to change i wanna feel happy days  happy days happy days  happy days all of this frustration inside of my brain and i don t know if i m ready to change  face down in the deep end face down every weekend face down and i m bleeding there s no sound when you re leaving we faced all of our demons we chased all of our dreams and we don t know where it leads us we don t care at all  i wanna feel happy days  happy days happy days  happy days walls of isolation inside of my pain and i don t know if i m ready to change i wanna feel happy days  happy days  face down in the deep end  happy days  happy days  face down every weekend  all of this frustration inside of my brain and i don t know if i m ready to change i wanna feel happy days,Blink182
3,i don t believe that we were ever meant to be left underneath the light of dying stars push me off of the edge of the world watch me as i slowly fall apart  set fire to the roof of your house and waited for the sirens to wail left your favorite records to melt listened as you damned me to hell  angel wings at the bus stop halos left on top of the bar heaven doesn t want me now heaven doesn t want me  angel wings at the bus stop halos left on top of the bar heaven doesn t want me now heaven doesn t want me  well what did i think would happen i wouldn t dream of asking you and it healed for me  so long i lived in fear that you moved on  what have i done to us it seems  i ve broken trust and shattered dreams i only wish i d spoken up loneliness since we broke up  angel wings at the bus stop halos left on top of the bar heaven doesn t want me now heaven doesn t want me  angel wings at the bus stop halos left on top of the bar heaven doesn t want me now heaven doesn t want me  say a prayer that you ll make it to the other side it won t make no sense and you ll lose your mind we re lost in our ways nothing left to say  no make a wish that you ll get a chance to say goodbye before the shots ring out in the dead of night we re stuck in our ways i ve got so much to say  oh showed up like shadows in this crowd brought the fire blinding came here to quickly tear us down  down  down  angel wings at the bus stop halos left on top of the bar heaven doesn t want me now heaven doesn t want me  angel wings at the bus stop halos left on top of the bar heaven doesn t want me now heaven doesn t want me,Blink182
4,she s a girl dressed in black from another world lives and breathes like a girl from another world she don t know my name  she don t know my name  she don t have the time of day celebrate  medicate  til we numb the pain in the sun  it s still dark  like it always rains she don t feel the same  she don t feel the same  she don t have the time of day  and i wait  and i wait  and i wait and i wait  and i wait  and i wait and i wait for her and i wait  and i wait  and i wait and i wait  and i wait  and i wait and i wait for her  i don t care what you say  no i don t care what you do i m goin  to the darkside with you i m goin  to the darkside with you i don t care what you say  no i don t care what you do i m goin  to the darkside with you i m goin  to the darkside with you  she s a girl  i look back to what could have been her cloak and dagger  mouth tastes like medicine she won t last the night  she won t last the night  spun out in the neon lights you would leave  but you need me to numb the pain you re possessed and you slept through another day you don t feel the same and i don t have the strength to stay  and i wait  and i wait  and i wait and i wait  and i wait  and i wait and i wait for her and i wait  and i wait  and i wait and i wait  and i wait  and i wait and i wait for her  i don t care what you say  no i don t care what you do i m goin  to the darkside with you i m goin  to the darkside with you i don t care what you say  no i don t care what you do i m goin  to the darkside with you i m goin  to the darkside with you   oh  i m goin  to the darkside with you  oh  i m goin  to the darkside with you i don t care what you say  no i don t care what you do i m goin  to the darkside with you i m goin  to the darkside  i don t care what you say  no i don t care what you do i m goin  to the darkside with you i m goin  to the darkside with you   oh  i m goin  to the darkside with you  oh  i m goin  to the darkside with you,Blink182
5,blame it  blame it on my youth  i wasn t born with the rich blood i started out with plenty of nothing at all i got stuck in the thick mud the flash flood  punk rock  and the alcohol i was raised on a rerun i was bored to death  so i started a band cut my teeth on a safety dance my attention span never stood a chance  it s too late can you forgive me now   you could never kill my high i m the ink and you re the headline  oh  blame it  blame it on my youth blame it  blame it on my youth you can never block my shine i ve been lost since 1999  oh  blame it  blame it on my youth blame it  blame it on my youth  blame  blame  blame on my youth   i wasn t made for the good life i ended up getting stuck on the side of the road i tripped and fell on hard times tough breaks are the only kind i know i was left on a door step i was scared to death with nowhere to go cut myself on the neighbors  fence that i hopped as the cops tried to take me in  it s too late can you forgive me now   you could never kill my high i m the ink and you re the headline  oh  blame it  blame it on my youth blame it  blame it on my youth you could never block my shine i ve been lost since 1999  oh  blame it  blame it on my youth blame it  blame it on my youth  i was raised on the ritalin ever since i was a little kid  little kid  no one ever seemed to give a shit  give a shit  and i don t need an excuse i don t need an excuse  you could never kill my high i m the ink and you re the headline blame it  blame it on my youth blame it  blame it on my youth you can never block my shine i ve been lost since 1999  oh  blame it  blame it on my youth blame it  blame it on my youth you can never kill my high  endless summer  i m the ink and you re the headline  stretching on and on  blame it  blame it on my youth  oh  oh  blame it  blame it on my youth  oh  oh   endless summer stretching on and on,Blink182
6,is it better  is it better now  are we better  are we better now  is it better is it better now  are we better  are we better now   all we needed was a lifeline  is it better  is it better now   we swore we d be better than the last time  are we better  are we better now   tell me  tell me that you re all right  is it better  is it better now   i m not the generational divide  are we better  are we better now  ,Blink182
7,leave me in the sun  i m melting like a popsicle give me the flu  i m dying in this hospital i need you close  but you got me backed against a wall i try to speak  but my mouth doesn t move at all  sing me right back to sleep we ll never hear your voice break down again need you to try to keep your distance and i ll come home again  run away  don t let me run away  no get away  don t let me get away  no when the lights come up  when you see i m gone you wake up to an empty house and when the music stops  and you come undone you know i m never gonna get you out of my head  lay you in the dark  where we stumble in the mysteries an opened book that you took  and now i m history you moved away  and you left me with your dying wish i couldn t prove it was you  you re the arsonist  sing me right back to sleep we ll never hear your voice break down again need you to try to keep your distance and i ll come home again  run away  don t let me run away  no get away  don t let me get away  no when the lights come up  when you see i m gone you wake up to an empty house and when the music stops and you come undone you know i m never gonna get you out of my head   run away  don t let me run away  no   get away  don t let me get away  no   run away  don t let me run away  no   get away  don t let me get away  no   run away  don t let me run away  no get away  don t let me get away  no when the lights come up  when you see i m gone you wake up to an empty house and when the music stops and you come undone you know i m never gonna get you out of my head   run away  don t let me run away  no   get away  don t let me get away  no ,Blink182
8,tragedy erase my memory and now all i see is this black rain oh  tragedy you took my everything oh  now all i feel all i feel is pain  oh  how can i go on  knowing that i lost you where did i go wrong  where did you run off to  lost down here broken and alone  i went and searched for some answers but all i found were monsters they re under my bed they re haunting this tie that s been severed this tie that s been severed now i follow your footsteps through the ashes you once crept i feel so hollow  now i m trapped on this island  this island of regret  tragedy erase my memory and now all i see is this black rain oh  tragedy you took my everything oh  now all i feel all i feel is pain  oh  how can i go on  knowing that i lost you where did i go wrong  where did you run off to  lost down here broken and alone  they left a note on the front door with a time and a place as the tears poured from my eyes straight to the floor there was no going back once we knew what they came for and all i have here is heartache and bones  and mirrors for me to break only so much bad luck a person can take we quiver and quake  we shiver and shake  tragedy erase my memories and now all i see is this black rain oh  tragedy,Blink182
9,i don t really like myself without you every song i sing is still about you save me from myself the way you used to  cause i don t really like myself without you i really wish i hated you  a little drunk  waiting on your phone call a little numb  maybe i can t feel at all you stitch me up but you can t stop me bleeding out i m better when i m broken  i love you  but i hate you when you re with someone else and i want you wrapped around me  but i don t trust myself i drove by your house  but you don t live there anymore   cause i don t really like myself without you every song i sing is still about you save me from myself the way you used to  cause i don t really like myself without you i really wish i hated you right now won t you say something won t you say something i really wish i hated you won t you say something won t you say something i really wish i hated you  the sun is out  i m dying in the daytime i think about the future that we left behind i drank it all  but i can t shake you from my mind now every window s broken  i love you  but i hate you when you re with someone else and i want you wrapped around me  but i don t trust myself i drove by your house  but you don t live there anymore   cause i don t really like myself without you every song i sing is still about you save me from myself the way you used to  cause i don t really like myself without you i really wish i hated you right now won t you say something won t you say something i really wish i hated you won t you say something won t you say something i really wish i hated you  i can see that you ve had enough i can see that you re giving up on me i can see that your hands are up i can see that you re giving up on me i hate the way that you re better off  better off i numb the pain but it never stops  never stops wish i could say that i m better off  better off now  but i don t really like myself without you every song i sing is still about you save me from myself the way you used to  cause i don t really like myself without you i really wish i hated you right now won t you say something won t you say something i really wish i hated you won t you say something won t you say something i really wish i hated you  won t you say something won t you say something i really wish i hated you won t you say something won t you say something i really wish i hated you,Blink182
10,"back down  i feel that you re leaving me right now  it feels like you re bleeding me dry slow down  you took away a piece of me i don t wanna let go  don t wanna let go  drove home  i m running out of oxygen tight rope  tonight it s like i m walking on air black smoke  coming from the underground i don t wanna let go  don t wanna let  hey  wait! pin the grenade if you don t love me  lie to my face hey  wait! get out of my brain if you don t love me  lie to my face just another night before i m lost and all alone if you re gonna kill me  baby  please just do it slow so hey  wait! pin the grenade if you don t love me  lie to my face if you don t love me  lie to my face  my god  how could you talk to me like that  let s stop  you changed your mind and called a ride home you dropped a hint that i embarrass you i don t wanna let go  don t wanna let go midnight  i m underneath the landslide fast life  i leave you on the side of the road you cried  ""this isn t what you promised me"" i don t wanna let go  don t wanna let  hey  wait! pin the grenade if you don t love me  lie to my face hey  wait! get out of my brain if you don t love me  lie to my face just another night before i m lost and all alone if you re gonna kill me  baby  please just do it slow so hey  wait! pin the grenade if you don t love me  lie to my face   lie to my face  just another night before i m lost and all alone if you re gonna kill me  baby  please just do it slow just another night before i m lost and all alone if you re gonna kill me  baby  please just do it slow  hey  wait! pin the grenade if you don t love me  lie to my face hey  wait! get out of my brain if you don t love me  lie to my face just another night before i m lost and all alone if you re gonna kill me  baby  please just do it slow so hey  wait! pin the grenade if you don t love me  lie to my face if you don t love me  lie to my face if you don t love me  lie to my face  hey  wait! pin the grenade if you don t love me  lie to my face",Blink182
11,oh oh oh  photographs of you are still haunting my halls still framed and blue  say nothing at all sacrifice myself  leave me dead in the sun put it on a shelf  leave it there for everyone to see is that all you have  is that all you have to say   lying on the bedroom floor hanging on the words that you said before no heart  no heart to speak of dying on the bathroom floor thinking of the life that we had before no heart  no heart to speak of  nothing left but scars clawed away at my heart on a crumbling edge  watch me falling apart feel the birds of prey circle over our home vultures in the ash  separating skin from bone is that all you have  is that all you have to say   lying on the bedroom floor hanging on the words that you said before no heart  no heart to speak of dying on the bathroom floor thinking of the life that we had before no heart  no heart to speak of  and i think one day and i think one day we ll both just fade away and i think one day we ll pay for our mistakes and i think one day i m gonna slip away  lying on the bedroom floor hanging on the words that you said before no heart  no heart to speak of dying on the bathroom floor thinking of the life that we had before no heart  no heart to speak of,Blink182
12,say the word and i ll be there say the word and i ll be there  she was just a babe in the woods he was always up to no good of course  they d end up as one  say the word and i ll be there   she took a late-night bus to l a  he left home with nowhere to stay moving to the land of the sun  say the word and i ll be there   they found a spot on bunker hill though getting by was hard the phoenix slowly turned to ashes hope to broken hearts  now she s holding him for ransom now she s holding him for ransom say the word and i ll be there say the word and i ll be there now she s holding him for ransom now she s holding him for ransom now she s holding him for ransom,Blink182
13,i suppose we got lost in brooklyn there s a poster on my wall with a picture that says you re missing my friends say i should rip it apart thought i saw you at the bodega thought i heard your voice at the bar time is slipping out through my fingers i m wishing on a burned out star  they say forgive and forget as long as i live i let these feelings pound in my chest maybe i am better off dead  the last time that i saw her she was standing on the edge all my good time been a long time tell me how could i forget she had questions in her eyes oh  i should have realized that it was over yeah  it was over the last time that i saw her  thinking back to times in manhattan and that soho gallery saw the sights and your favorite paintings you were as priceless as can be now i m looking back at the city the one that they say never sleeps how things get so dark and shitty sunrise always gives us the creeps  they say forgive and forget as long as i live i let these feelings pound in my chest maybe i am better off dead  the last time that i saw her she was standing on the edge all my good time been a long time tell me how could i forget she had questions in her eyes oh  i should have realized that it was over yeah  it was over the last time that i saw her  now you re just a stranger and i feel like i let you down your friends say i m a failure and i could never prove  em wrong so call me when you re lonely and maybe we can work it out fall back in the routines like nights i still dream about  last time that i saw her the last time that i saw her yeah  the last time that i saw her she was standing on the edge but it was over yeah  it was over the last time that i saw her,Blink182
